sigma	a	N
-0.2177	20	3348
-0.2187	20	3348
-0.2197	20	3348
-0.2207	20	3348
-0.2217	20	3348
-0.2227	20	3348
-0.2237	20	3348
-0.2247	20	3348
-0.2258	20	3348
-0.2268	20	3348
-0.2278	20	3348
-0.2288	20	3348
-0.2298	20	3348
-0.2308	20	3348
-0.2318	20	3348
-0.2328	20	3348
-0.2338	20	3348
-0.2348	20	3348
-0.2358	20	3348
-0.2368	20	3348
-0.2378	20	3348
-0.2388	20	3348
-0.2398	20	3348
-0.2408	20	3348
-0.2418	20	3348
-0.2428	20	3348
-0.2438	20	3348
-0.2448	20	3348
-0.2458	20	3348
-0.2468	20	3348
-0.2478	20	3348
-0.2488	20	3348
-0.2498	20	3348
-0.2508	20	3348
-0.2518	20	3348
-0.2528	20	3348
-0.2538	20	3348
-0.2548	20	3348
-0.2559	20	3348
-0.2569	20	3348
-0.2579	20	3348
-0.2589	20	3348
-0.2599	20	3348
-0.2609	20	3348
-0.2619	20	3348
-0.2629	20	3348
-0.2639	20	3348
-0.2649	20	3348
-0.2659	20	3348
-0.2669	20	3348
-0.2679	20	3348
-0.2689	20	3348
-0.2699	20	3348
-0.2709	20	3348
-0.2719	20	3348
-0.2729	20	3348
-0.2739	20	3348
-0.2749	20	3348
-0.2759	20	3348
-0.2769	20	3348
-0.2779	20	3348
-0.2789	20	3348
-0.2799	20	3348
-0.2809	20	3348
-0.2819	20	3348
-0.2829	20	3348
-0.2839	20	3348
-0.2849	20	3348
-0.286	20	3348
-0.287	20	3348
-0.288	20	3348
-0.289	20	3348
-0.29	20	3348
-0.291	20	3348
-0.292	20	3348
-0.293	20	3348
-0.294	20	3348
-0.295	20	3348
-0.296	20	3348
-0.297	20	3348
-0.298	20	3348
-0.299	20	3348
-0.3	20	3348
